epoch,iter,lossG,lossGfwd,lossGadv,lossD,lossDadv-org,lossDadv-gen,lossDadv-mix,SSIM,PSNR,LPIPS,HistW
0,500,3.910815,3.476502,-0.434313,23.687482,13.598877,8.666572,11.510640,0.991376,38.524550,0.104273,0.071295
1,1000,1.756562,1.488610,-0.267952,2.353293,0.906650,1.445832,1.447453,0.000000,0.000000,0.000000,0.000000
2,1500,1.311176,1.141066,-0.170111,2.192115,0.917692,1.268923,1.279922,0.000000,0.000000,0.000000,0.000000
3,2000,1.127246,1.000706,-0.126539,2.144575,0.938506,1.200934,1.211204,0.000000,0.000000,0.000000,0.000000
4,2500,1.016317,0.916646,-0.099670,2.121987,0.958864,1.160115,1.166131,0.000000,0.000000,0.000000,0.000000
5,3000,0.990506,0.898659,-0.091847,2.095202,0.954541,1.139335,1.141987,0.994943,43.981983,0.072732,0.056860
6,3500,0.895863,0.838862,-0.057001,2.075864,0.974618,1.100373,1.102119,0.000000,0.000000,0.000000,0.000000
7,4000,0.874928,0.830480,-0.044447,2.062407,0.982715,1.080015,1.079368,0.000000,0.000000,0.000000,0.000000
8,4500,0.846494,0.808092,-0.038402,2.061752,0.991773,1.068639,1.071319,0.000000,0.000000,0.000000,0.000000
9,5000,0.776854,0.761131,-0.015723,2.045541,1.005107,1.040786,1.040082,0.000000,0.000000,0.000000,0.000000
10,5500,0.757102,0.730789,-0.026313,2.037881,0.989137,1.048484,1.049003,0.996378,45.949872,0.049777,0.062115
11,6000,0.740591,0.720523,-0.020068,2.031735,0.994736,1.035655,1.038343,0.000000,0.000000,0.000000,0.000000
12,6500,0.734452,0.717770,-0.016682,2.030499,0.997852,1.032185,1.033110,0.000000,0.000000,0.000000,0.000000
13,7000,0.723762,0.704924,-0.018838,2.023056,0.988821,1.033315,1.035154,0.000000,0.000000,0.000000,0.000000
14,7500,0.691309,0.689927,0.001383,2.022288,1.010479,1.010586,1.013031,0.000000,0.000000,0.000000,0.000000
15,8000,0.642517,0.641597,-0.000920,2.020241,1.008713,1.011171,1.011886,0.996724,44.926103,0.038896,0.061193
16,8500,0.665561,0.637339,-0.028223,2.016964,0.979294,1.038219,1.037121,0.000000,0.000000,0.000000,0.000000
17,9000,0.668030,0.645014,-0.023016,2.015950,0.984478,1.030729,1.032214,0.000000,0.000000,0.000000,0.000000
18,9500,0.650617,0.628075,-0.022542,2.016077,0.983116,1.032467,1.033454,0.000000,0.000000,0.000000,0.000000
19,10000,0.623788,0.608698,-0.015090,2.015944,0.992362,1.023274,1.023890,0.000000,0.000000,0.000000,0.000000
20,10500,0.638981,0.629508,-0.009474,2.015179,0.996442,1.019452,1.018022,0.997185,45.750890,0.031785,0.061113
21,11000,0.612020,0.594532,-0.017488,2.015176,0.989729,1.025606,1.025287,0.000000,0.000000,0.000000,0.000000
22,11500,0.600832,0.577883,-0.022949,2.014528,0.984710,1.030496,1.029141,0.000000,0.000000,0.000000,0.000000
23,12000,0.591103,0.575470,-0.015633,2.014151,0.991603,1.022111,1.022986,0.000000,0.000000,0.000000,0.000000
24,12500,0.589118,0.576611,-0.012507,2.012790,0.992285,1.019960,1.021050,0.000000,0.000000,0.000000,0.000000
25,13000,0.607582,0.590119,-0.017462,2.012511,0.987404,1.025206,1.025008,0.997188,46.779947,0.025478,0.061845
26,13500,0.597703,0.575879,-0.021824,2.010434,0.983268,1.027055,1.027277,0.000000,0.000000,0.000000,0.000000
27,14000,0.585083,0.556757,-0.028326,2.011215,0.976872,1.034504,1.034184,0.000000,0.000000,0.000000,0.000000
28,14500,0.607474,0.577057,-0.030417,2.009708,0.974132,1.035983,1.035168,0.000000,0.000000,0.000000,0.000000
29,15000,0.558671,0.530483,-0.028188,2.008873,0.976645,1.031832,1.032625,0.000000,0.000000,0.000000,0.000000
30,15500,0.581791,0.551051,-0.030740,2.009302,0.973509,1.036270,1.035317,0.997069,46.149288,0.024696,0.062490
31,16000,0.563442,0.534526,-0.028916,2.007774,0.974120,1.033731,1.033577,0.000000,0.000000,0.000000,0.000000
32,16500,0.563017,0.526676,-0.036341,2.007784,0.967002,1.040957,1.040606,0.000000,0.000000,0.000000,0.000000
33,17000,0.572720,0.537769,-0.034951,2.006752,0.968708,1.038309,1.037779,0.000000,0.000000,0.000000,0.000000
34,17500,0.546126,0.513270,-0.032856,2.005794,0.968928,1.036960,1.036773,0.000000,0.000000,0.000000,0.000000
35,18000,0.566239,0.532150,-0.034089,2.006350,0.968424,1.038613,1.037238,0.997525,46.575893,0.022357,0.062876
36,18500,0.546351,0.509308,-0.037043,2.004978,0.965220,1.039409,1.040108,0.000000,0.000000,0.000000,0.000000
37,19000,0.559713,0.522764,-0.036950,2.006147,0.965189,1.040832,1.041085,0.000000,0.000000,0.000000,0.000000
38,19500,0.556597,0.516625,-0.039972,2.004766,0.962782,1.042077,1.041891,0.000000,0.000000,0.000000,0.000000
39,20000,0.558673,0.521564,-0.037109,2.004031,0.965371,1.038669,1.038651,0.000000,0.000000,0.000000,0.000000
40,20500,0.553566,0.516509,-0.037057,2.003644,0.964047,1.039547,1.039645,0.997280,46.126745,0.023224,0.064011
41,21000,0.544904,0.509010,-0.035894,2.003510,0.966178,1.037203,1.037462,0.000000,0.000000,0.000000,0.000000
42,21500,0.557826,0.519132,-0.038694,2.003360,0.962802,1.040549,1.040568,0.000000,0.000000,0.000000,0.000000
43,22000,0.547004,0.506160,-0.040844,2.003276,0.960711,1.043009,1.042120,0.000000,0.000000,0.000000,0.000000
44,22500,0.547556,0.505391,-0.042165,2.002683,0.959099,1.043847,1.043322,0.000000,0.000000,0.000000,0.000000
42,21500,0.550597,0.511220,-0.039377,2.003039,0.961836,1.040834,1.041572,0.000000,0.000000,0.000000,0.000000
43,22000,0.555938,0.513552,-0.042386,2.002889,0.959843,1.042333,1.043758,0.000000,0.000000,0.000000,0.000000
44,22500,0.555974,0.512120,-0.043854,2.002802,0.958306,1.044545,1.044447,0.000000,0.000000,0.000000,0.000000
45,23000,0.553369,0.511762,-0.041607,2.002387,0.959788,1.042823,1.042375,0.997176,46.471023,0.021309,0.064298
46,23500,0.549235,0.505748,-0.043487,2.000059,0.955754,1.043673,1.044937,0.000000,0.000000,0.000000,0.000000
47,24000,0.628675,0.577634,-0.051041,2.000937,0.950067,1.050538,1.051201,0.000000,0.000000,0.000000,0.000000
48,24500,0.589542,0.530124,-0.059417,2.000944,0.941642,1.059322,1.059282,0.000000,0.000000,0.000000,0.000000
49,25000,0.560727,0.498395,-0.062332,2.000650,0.937400,1.063459,1.063039,0.000000,0.000000,0.000000,0.000000
50,25500,0.573572,0.505286,-0.068286,2.002008,0.932773,1.068878,1.069592,0.997679,46.287274,0.021193,0.062243
51,26000,0.580352,0.504682,-0.075670,1.998756,0.921740,1.076514,1.077518,0.000000,0.000000,0.000000,0.000000
52,26500,0.575954,0.492443,-0.083511,1.998309,0.915526,1.082565,1.083001,0.000000,0.000000,0.000000,0.000000
53,27000,0.594770,0.503250,-0.091521,1.998591,0.907702,1.090900,1.090878,0.000000,0.000000,0.000000,0.000000
54,27500,0.562709,0.472202,-0.090507,1.998897,0.907524,1.091538,1.091208,0.000000,0.000000,0.000000,0.000000
55,28000,0.594838,0.500518,-0.094320,1.999458,0.904569,1.094791,1.094988,0.997799,47.463188,0.021746,0.065172
56,28500,0.592643,0.494364,-0.098280,2.001825,0.902213,1.099154,1.100069,0.000000,0.000000,0.000000,0.000000
57,29000,0.607641,0.503498,-0.104143,2.001452,0.896600,1.104858,1.104847,0.000000,0.000000,0.000000,0.000000
58,29500,0.588011,0.481759,-0.106252,2.001884,0.894287,1.107474,1.107720,0.000000,0.000000,0.000000,0.000000
59,30000,0.607356,0.500494,-0.106861,2.001455,0.893563,1.107723,1.108060,0.000000,0.000000,0.000000,0.000000
60,30500,0.591221,0.481398,-0.109822,2.001245,0.890739,1.110669,1.110342,0.997707,46.866015,0.020064,0.066323
61,31000,0.615305,0.500875,-0.114430,2.000791,0.885797,1.114967,1.115020,0.000000,0.000000,0.000000,0.000000
62,31500,0.605017,0.487490,-0.117527,2.001464,0.883806,1.117574,1.117741,0.000000,0.000000,0.000000,0.000000
63,32000,0.602971,0.482784,-0.120188,2.001419,0.879809,1.121663,1.121557,0.000000,0.000000,0.000000,0.000000
64,32500,0.584589,0.460648,-0.123940,2.001312,0.876733,1.124602,1.124557,0.000000,0.000000,0.000000,0.000000
65,33000,0.601575,0.473561,-0.128014,2.000501,0.872673,1.127804,1.127851,0.997888,47.153444,0.019008,0.066715
66,33500,0.615712,0.483933,-0.131778,2.000794,0.869091,1.131742,1.131665,0.000000,0.000000,0.000000,0.000000
67,34000,0.630649,0.494968,-0.135681,2.001520,0.865397,1.136061,1.136186,0.000000,0.000000,0.000000,0.000000
68,34500,0.611835,0.473457,-0.138378,2.001597,0.862108,1.139167,1.139810,0.000000,0.000000,0.000000,0.000000
69,35000,0.611041,0.471435,-0.139605,2.001352,0.860777,1.140573,1.140577,0.000000,0.000000,0.000000,0.000000
70,35500,0.606571,0.463752,-0.142818,2.000479,0.857528,1.142629,1.143273,0.997647,48.542643,0.019010,0.067262
71,36000,0.622290,0.476967,-0.145322,1.999269,0.854084,1.145095,1.145275,0.000000,0.000000,0.000000,0.000000
72,36500,0.635458,0.485471,-0.149987,1.999553,0.849910,1.149948,1.149338,0.000000,0.000000,0.000000,0.000000
73,37000,0.635781,0.479168,-0.156613,1.999712,0.842990,1.156715,1.156731,0.000000,0.000000,0.000000,0.000000
74,37500,0.617781,0.460402,-0.157379,1.999374,0.841733,1.157831,1.157452,0.000000,0.000000,0.000000,0.000000
75,38000,0.618588,0.458159,-0.160430,1.999242,0.838728,1.160375,1.160655,0.997916,47.580768,0.018428,0.064993
76,38500,0.643903,0.479356,-0.164547,2.000187,0.835014,1.165130,1.165215,0.000000,0.000000,0.000000,0.000000
77,39000,0.640371,0.469777,-0.170594,1.999914,0.829324,1.170726,1.170454,0.000000,0.000000,0.000000,0.000000
78,39500,0.639414,0.464980,-0.174434,2.000054,0.825537,1.174469,1.174565,0.000000,0.000000,0.000000,0.000000
79,40000,0.652315,0.476069,-0.176246,1.999875,0.823399,1.176432,1.176521,0.000000,0.000000,0.000000,0.000000
80,40500,0.642811,0.462741,-0.180070,2.000278,0.819587,1.180794,1.180589,0.997956,48.242657,0.018241,0.066650
81,41000,0.662953,0.478842,-0.184111,1.998470,0.813975,1.184330,1.184660,0.000000,0.000000,0.000000,0.000000
82,41500,0.664698,0.478750,-0.185947,1.996707,0.812285,1.184229,1.184614,0.000000,0.000000,0.000000,0.000000
83,42000,0.650190,0.456307,-0.193883,1.997666,0.804101,1.193765,1.193365,0.000000,0.000000,0.000000,0.000000
84,42500,0.654349,0.460812,-0.193537,1.997338,0.803791,1.193805,1.193290,0.000000,0.000000,0.000000,0.000000
85,43000,0.660555,0.465031,-0.195523,1.996777,0.801450,1.195238,1.195417,0.997932,46.760898,0.018268,0.064107
86,43500,0.679672,0.479162,-0.200510,1.998873,0.797873,1.200967,1.201033,0.000000,0.000000,0.000000,0.000000
87,44000,0.670449,0.464170,-0.206279,1.997851,0.792376,1.205721,1.205228,0.000000,0.000000,0.000000,0.000000
88,44500,0.670022,0.460307,-0.209715,1.998711,0.788736,1.210402,1.209547,0.000000,0.000000,0.000000,0.000000
89,45000,0.675757,0.464899,-0.210857,1.998612,0.787472,1.211278,1.211002,0.000000,0.000000,0.000000,0.000000
90,45500,0.666374,0.452993,-0.213381,1.998726,0.784943,1.214080,1.213486,0.997886,48.044532,0.017380,0.065085
91,46000,0.672717,0.452717,-0.220000,2.001105,0.780044,1.220885,1.221237,0.000000,0.000000,0.000000,0.000000
92,46500,0.670525,0.447144,-0.223381,2.000111,0.777483,1.222671,1.222585,0.000000,0.000000,0.000000,0.000000
93,47000,0.685503,0.458675,-0.226828,2.000287,0.772410,1.227824,1.227931,0.000000,0.000000,0.000000,0.000000
94,47500,0.686781,0.456369,-0.230412,2.000825,0.769752,1.230791,1.231355,0.000000,0.000000,0.000000,0.000000
95,48000,0.681322,0.448990,-0.232332,2.000519,0.767649,1.232734,1.233006,0.997994,47.767449,0.017284,0.066023
96,48500,0.691377,0.456447,-0.234930,2.000199,0.765424,1.235007,1.234544,0.000000,0.000000,0.000000,0.000000
97,49000,0.701986,0.463207,-0.238779,1.999965,0.761844,1.238373,1.237870,0.000000,0.000000,0.000000,0.000000
98,49500,0.693703,0.450506,-0.243197,2.000320,0.756483,1.243745,1.243931,0.000000,0.000000,0.000000,0.000000
99,50000,0.697411,0.453532,-0.243879,2.000312,0.755974,1.244441,1.244236,0.000000,0.000000,0.000000,0.000000
100,50500,0.695621,0.449762,-0.245859,2.000804,0.754016,1.246960,1.246616,0.997998,49.023578,0.017267,0.067943
101,51000,0.696633,0.449290,-0.247344,2.001454,0.752975,1.248322,1.248635,0.000000,0.000000,0.000000,0.000000
102,51500,0.694002,0.441309,-0.252693,2.000306,0.747558,1.252586,1.252909,0.000000,0.000000,0.000000,0.000000
103,52000,0.714491,0.459860,-0.254631,2.000506,0.746057,1.254444,1.254454,0.000000,0.000000,0.000000,0.000000
104,52500,0.707820,0.449668,-0.258152,2.000701,0.741738,1.259153,1.258774,0.000000,0.000000,0.000000,0.000000
105,53000,0.704482,0.441107,-0.263375,2.001098,0.736844,1.264436,1.264073,0.997971,48.709216,0.017560,0.066832
106,53500,0.711392,0.443720,-0.267672,2.000067,0.732378,1.267672,1.267706,0.000000,0.000000,0.000000,0.000000
107,54000,0.733233,0.461403,-0.271830,2.000215,0.728132,1.272240,1.271926,0.000000,0.000000,0.000000,0.000000
108,54500,0.733852,0.458680,-0.275172,2.001830,0.725096,1.276627,1.276841,0.000000,0.000000,0.000000,0.000000
109,55000,0.722763,0.445181,-0.277582,2.001769,0.722857,1.279160,1.278663,0.000000,0.000000,0.000000,0.000000
110,55500,0.735487,0.453870,-0.281617,2.000342,0.718995,1.281350,1.281344,0.997978,48.835214,0.017191,0.067489
111,56000,0.752671,0.465054,-0.287617,1.999584,0.712477,1.286895,1.287319,0.000000,0.000000,0.000000,0.000000
112,56500,0.741580,0.451490,-0.290090,2.001047,0.710086,1.291232,1.290690,0.000000,0.000000,0.000000,0.000000
113,57000,0.747589,0.453996,-0.293594,2.001611,0.706744,1.294852,1.294881,0.000000,0.000000,0.000000,0.000000
114,57500,0.742320,0.444605,-0.297715,2.000380,0.702535,1.297742,1.297948,0.000000,0.000000,0.000000,0.000000
115,58000,0.745005,0.443646,-0.301359,2.000150,0.698890,1.301101,1.301418,0.997933,50.472123,0.016302,0.068209
116,58500,0.757432,0.449580,-0.307852,2.001781,0.692644,1.308955,1.309317,0.000000,0.000000,0.000000,0.000000
117,59000,0.748150,0.436552,-0.311598,2.001216,0.688867,1.312178,1.312520,0.000000,0.000000,0.000000,0.000000
118,59500,0.750680,0.435509,-0.315172,1.999988,0.684814,1.315007,1.315341,0.000000,0.000000,0.000000,0.000000
119,60000,0.761546,0.441265,-0.320281,2.000583,0.680166,1.320410,1.320425,0.000000,0.000000,0.000000,0.000000
120,60500,0.778225,0.455647,-0.322578,2.000790,0.677731,1.323327,1.322792,0.997913,47.593134,0.016892,0.065150
121,61000,0.771047,0.445578,-0.325469,2.001908,0.674605,1.327366,1.327241,0.000000,0.000000,0.000000,0.000000
122,61500,0.770146,0.443505,-0.326641,2.001269,0.673636,1.327648,1.327619,0.000000,0.000000,0.000000,0.000000
123,62000,0.770107,0.439611,-0.330496,2.000253,0.670319,1.329825,1.330044,0.000000,0.000000,0.000000,0.000000
124,62500,0.783586,0.449933,-0.333652,2.000221,0.666567,1.333732,1.333574,0.000000,0.000000,0.000000,0.000000
125,63000,0.791374,0.455264,-0.336109,2.001019,0.664000,1.336813,1.337224,0.998019,49.107713,0.017135,0.067783
126,63500,0.777204,0.437223,-0.339980,2.002146,0.660379,1.341657,1.341878,0.000000,0.000000,0.000000,0.000000
127,64000,0.782865,0.441498,-0.341367,2.001768,0.658572,1.343145,1.343247,0.000000,0.000000,0.000000,0.000000
128,64500,0.795165,0.451107,-0.344059,2.000348,0.656152,1.344077,1.344316,0.000000,0.000000,0.000000,0.000000
129,65000,0.792866,0.445815,-0.347051,1.999949,0.653191,1.346946,1.346570,0.000000,0.000000,0.000000,0.000000
130,65500,0.788689,0.436384,-0.352305,2.000544,0.648244,1.352203,1.352397,0.997923,49.991099,0.016902,0.068783
131,66000,0.796108,0.439612,-0.356496,2.001647,0.643718,1.357962,1.357895,0.000000,0.000000,0.000000,0.000000
132,66500,0.800048,0.440876,-0.359172,2.000705,0.641076,1.359467,1.359791,0.000000,0.000000,0.000000,0.000000
133,67000,0.801754,0.438082,-0.363672,1.999813,0.636917,1.362781,1.363010,0.000000,0.000000,0.000000,0.000000
134,67500,0.800811,0.430459,-0.370352,2.001103,0.630203,1.371023,1.370776,0.000000,0.000000,0.000000,0.000000
135,68000,0.815694,0.440948,-0.374746,2.000514,0.625416,1.375102,1.375093,0.998037,48.684506,0.016742,0.067243
136,68500,0.816742,0.438652,-0.378090,1.999316,0.621777,1.377444,1.377635,0.000000,0.000000,0.000000,0.000000
137,69000,0.837128,0.458022,-0.379105,1.998509,0.620685,1.377900,1.377747,0.000000,0.000000,0.000000,0.000000
138,69500,0.818610,0.430485,-0.388125,1.999858,0.611326,1.388687,1.388376,0.000000,0.000000,0.000000,0.000000
139,70000,0.824535,0.432324,-0.392211,1.998846,0.606583,1.392557,1.391969,0.000000,0.000000,0.000000,0.000000
140,70500,0.826776,0.431401,-0.395375,1.998117,0.603368,1.394891,1.394606,0.997988,49.316230,0.017994,0.067978
141,71000,0.828695,0.430656,-0.398039,1.999096,0.600790,1.398265,1.398348,0.000000,0.000000,0.000000,0.000000
142,71500,0.853276,0.450104,-0.403172,1.999007,0.596248,1.402845,1.402673,0.000000,0.000000,0.000000,0.000000
143,72000,0.832808,0.424382,-0.408426,1.999238,0.590831,1.408425,1.408388,0.000000,0.000000,0.000000,0.000000
144,72500,0.859549,0.445920,-0.413629,1.998657,0.585203,1.413534,1.413374,0.000000,0.000000,0.000000,0.000000
145,73000,0.848273,0.430535,-0.417738,2.000016,0.581393,1.418907,1.418339,0.998033,49.925294,0.017356,0.068381
146,73500,0.856405,0.434436,-0.421969,1.999979,0.577340,1.422522,1.422757,0.000000,0.000000,0.000000,0.000000
147,74000,0.855408,0.428830,-0.426578,1.999324,0.573885,1.425336,1.425542,0.000000,0.000000,0.000000,0.000000
148,74500,0.871475,0.441210,-0.430266,1.999805,0.569064,1.430908,1.430574,0.000000,0.000000,0.000000,0.000000
149,75000,0.870060,0.434884,-0.435176,2.000541,0.564560,1.435753,1.436211,0.000000,0.000000,0.000000,0.000000
150,75500,0.861178,0.424342,-0.436836,1.999958,0.562850,1.437180,1.437034,0.998080,48.908942,0.016300,0.066828
151,76000,0.874603,0.433349,-0.441254,1.999637,0.558940,1.440877,1.440518,0.000000,0.000000,0.000000,0.000000
152,76500,0.884966,0.438685,-0.446281,1.999389,0.553926,1.445507,1.445419,0.000000,0.000000,0.000000,0.000000
153,77000,0.886173,0.433771,-0.452402,1.999824,0.547187,1.452672,1.452603,0.000000,0.000000,0.000000,0.000000
154,77500,0.885035,0.430941,-0.454094,2.000042,0.545805,1.454062,1.454413,0.000000,0.000000,0.000000,0.000000
155,78000,0.882639,0.425710,-0.456930,1.999480,0.542721,1.456676,1.456843,0.998045,50.450685,0.016666,0.068763
156,78500,0.881775,0.421880,-0.459895,1.998780,0.539615,1.459246,1.459086,0.000000,0.000000,0.000000,0.000000
157,79000,0.914894,0.449460,-0.465434,2.000589,0.534478,1.465846,1.466376,0.000000,0.000000,0.000000,0.000000
